"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Bank Manager Portal","Customer Management","Search Customers","0","0","2","0","0"
"Bank Manager Portal","Customer Management","Add New Customer","0","0","2","0","0"
"Customer Portal","Transactions History","View Transaction History","1","0","0","0","0"
"Bank Manager Portal","Account Management","Open New Account","0","0","2","0","0"
"Customer Portal","Transactions","Deposit Funds","3","0","0","0","0"
"Bank Manager Portal","Account Management","Open New Account Validation","0","0","2","0","0"
"Bank Manager Portal","Customer Management","Add New Customer Validation","4","0","1","0","0"
"Customer Portal","Authentication","Customer Login and Logout Flow","2","0","0","0","0"
"Customer Portal","Authentication","UI State Validation","0","0","2","0","0"
"Customer Portal","Transactions","Withdraw Funds","3","0","1","0","0"
"XYZ Bank Navigation","Routing","Manager Portal Navigation","0","0","1","0","0"
"XYZ Bank Navigation","Routing","Customer Portal Navigation","0","0","1","0","0"
