"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 22 20:40:04 UTC 2026","Sun Feb 22 20:40:05 UTC 2026","1114","","tests.manager.ManagerCustomersTest","","tests.manager.ManagerCustomersTest","testSearchAndVerifyCustomer","testSearchAndVerifyCustomer(String, String) [1] Hermoine, Granger","This test navigates to the Manager portal, goes to the Customers list, and verifies that a specific customer can be found via search."
"passed","Sun Feb 22 20:39:52 UTC 2026","Sun Feb 22 20:39:54 UTC 2026","1652","","tests.manager.ManagerAddCustomerTest","","tests.manager.ManagerAddCustomerTest","testAddCustomer","testAddCustomer(String, String, String) [1] John, Doe, L1T 2R4","This test navigates to the Manager portal, fills out the Add Customer form, submits it, and verifies the success alert."
"failed","Sun Feb 22 20:38:02 UTC 2026","Sun Feb 22 20:38:09 UTC 2026","6335","","tests.customer.CustomerTransactionsTest","","tests.customer.CustomerTransactionsTest","testCustomerTransactionHistory","testCustomerTransactionHistory(String, String, String) [1] Harry Potter, 500, Deposit Successful","This test verifies that after making a deposit, the transaction is recorded and visible in the history."
"passed","Sun Feb 22 20:39:48 UTC 2026","Sun Feb 22 20:39:49 UTC 2026","1531","","tests.manager.ManagerOpenAccountTest","","tests.manager.ManagerOpenAccountTest","testOpenAccount","testOpenAccount(String, String) [2] Ron Weasly, Pound","This test navigates to the Manager portal, fills out the Open Account form for a customer, submits it, and verifies the success alert."
"passed","Sun Feb 22 20:39:54 UTC 2026","Sun Feb 22 20:39:55 UTC 2026","1603","","tests.manager.ManagerAddCustomerTest","","tests.manager.ManagerAddCustomerTest","testAddCustomer","testAddCustomer(String, String, String) [2] Jane, Smith, E55555","This test navigates to the Manager portal, fills out the Add Customer form, submits it, and verifies the success alert."
"failed","Sun Feb 22 20:37:20 UTC 2026","Sun Feb 22 20:38:02 UTC 2026","42252","","tests.customer.CustomerDepositTest","","tests.customer.CustomerDepositTest","testCustomerDepositNegative","testCustomerDepositNegative(String, String, String) [2] Harry Potter, 0, Deposit Unsuccessful. Please enter a positive amount.","This test verifies that zero or negative deposits are rejected and balance remains unchanged."
"passed","Sun Feb 22 20:39:51 UTC 2026","Sun Feb 22 20:39:52 UTC 2026","1443","","tests.manager.ManagerOpenAccountTest","","tests.manager.ManagerOpenAccountTest","testOpenAccountValidation","testOpenAccountValidation(String, String) [2] Harry Potter, ","This test verifies that the system prevents account creation if required fields are missing."
"failed","Sun Feb 22 20:40:00 UTC 2026","Sun Feb 22 20:40:02 UTC 2026","1671","","tests.manager.ManagerAddCustomerTest","","tests.manager.ManagerAddCustomerTest","testAddCustomerValidation","testAddCustomerValidation(String, String, String) [4] Jack, Daniels, 123 456!","This test verifies that the system prevents customer creation with invalid data (e.g., numbers in names, special chars)."
"failed","Sun Feb 22 20:35:33 UTC 2026","Sun Feb 22 20:36:07 UTC 2026","34238","","tests.customer.CustomerAuthTest","","tests.customer.CustomerAuthTest","testCustomerLoginAndLogout","testCustomerLoginAndLogout(String) [1] Harry Potter","This test verifies that a customer can successfully log into their account and log out successfully."
"passed","Sun Feb 22 20:36:36 UTC 2026","Sun Feb 22 20:36:36 UTC 2026","794","","tests.customer.CustomerAuthTest","","tests.customer.CustomerAuthTest","testLoginButtonIsHiddenInitially","testLoginButtonIsHiddenInitially()","This test verifies that the login button is hidden until a customer name is selected."
"failed","Sun Feb 22 20:39:55 UTC 2026","Sun Feb 22 20:39:57 UTC 2026","1618","","tests.manager.ManagerAddCustomerTest","","tests.manager.ManagerAddCustomerTest","testAddCustomerValidation","testAddCustomerValidation(String, String, String) [1] John123, Doe, E55555","This test verifies that the system prevents customer creation with invalid data (e.g., numbers in names, special chars)."
"failed","Sun Feb 22 20:38:57 UTC 2026","Sun Feb 22 20:39:41 UTC 2026","44386","","tests.customer.CustomerWithdrawalTest","","tests.customer.CustomerWithdrawalTest","testCustomerWithdrawalNegative","testCustomerWithdrawalNegative(String, String, String, String) [2] Harry Potter, 500, 0, Transaction Failed. Please enter a positive amount.","This test verifies that zero or negative withdrawals are rejected and balance remains unchanged."
"failed","Sun Feb 22 20:39:59 UTC 2026","Sun Feb 22 20:40:00 UTC 2026","1599","","tests.manager.ManagerAddCustomerTest","","tests.manager.ManagerAddCustomerTest","testAddCustomerValidation","testAddCustomerValidation(String, String, String) [3] Jim, Beam, ABCDEF","This test verifies that the system prevents customer creation with invalid data (e.g., numbers in names, special chars)."
"failed","Sun Feb 22 20:36:38 UTC 2026","Sun Feb 22 20:37:20 UTC 2026","42309","","tests.customer.CustomerDepositTest","","tests.customer.CustomerDepositTest","testCustomerDepositNegative","testCustomerDepositNegative(String, String, String) [1] Harry Potter, -50, Deposit Unsuccessful. Please enter a positive amount.","This test verifies that zero or negative deposits are rejected and balance remains unchanged."
"passed","Sun Feb 22 20:39:45 UTC 2026","Sun Feb 22 20:39:45 UTC 2026","718","","tests.XYZNavigationTest","","tests.XYZNavigationTest","verifyBankManagerNavigation","verifyBankManagerNavigation()","This test verifies that the Bank Manager Login button correctly navigates to the Manager portal view."
"failed","Sun Feb 22 20:36:36 UTC 2026","Sun Feb 22 20:36:38 UTC 2026","1472","","tests.customer.CustomerDepositTest","","tests.customer.CustomerDepositTest","testCustomerDeposit","testCustomerDeposit(String, String, String) [1] Harry Potter, 500, Deposit Successful","This test logs in a customer, deposits funds into their account, and verifies the success message."
"passed","Sun Feb 22 20:40:05 UTC 2026","Sun Feb 22 20:40:06 UTC 2026","1223","","tests.manager.ManagerCustomersTest","","tests.manager.ManagerCustomersTest","testSearchAndVerifyCustomer","testSearchAndVerifyCustomer(String, String) [2] Neville, Longbottom","This test navigates to the Manager portal, goes to the Customers list, and verifies that a specific customer can be found via search."
"passed","Sun Feb 22 20:40:02 UTC 2026","Sun Feb 22 20:40:04 UTC 2026","1678","","tests.manager.ManagerAddCustomerTest","","tests.manager.ManagerAddCustomerTest","testAddCustomerValidation","testAddCustomerValidation(String, String, String) [5] , Wayne, 12345","This test verifies that the system prevents customer creation with invalid data (e.g., numbers in names, special chars)."
"passed","Sun Feb 22 20:38:09 UTC 2026","Sun Feb 22 20:38:12 UTC 2026","3424","","tests.customer.CustomerWithdrawalTest","","tests.customer.CustomerWithdrawalTest","testCustomerWithdrawalMoreThanBalance","testCustomerWithdrawalMoreThanBalance(String, String, String, String) [1] Harry Potter, 200, 500, Transaction Failed. You can not withdraw amount more than the balance.","This test verifies that withdrawals exceeding the balance are rejected."
"failed","Sun Feb 22 20:38:12 UTC 2026","Sun Feb 22 20:38:57 UTC 2026","44468","","tests.customer.CustomerWithdrawalTest","","tests.customer.CustomerWithdrawalTest","testCustomerWithdrawalNegative","testCustomerWithdrawalNegative(String, String, String, String) [1] Harry Potter, 500, -200, Transaction Failed. Please enter a positive amount.","This test verifies that zero or negative withdrawals are rejected and balance remains unchanged."
"passed","Sun Feb 22 20:39:49 UTC 2026","Sun Feb 22 20:39:51 UTC 2026","1437","","tests.manager.ManagerOpenAccountTest","","tests.manager.ManagerOpenAccountTest","testOpenAccountValidation","testOpenAccountValidation(String, String) [1] , Rupee","This test verifies that the system prevents account creation if required fields are missing."
"failed","Sun Feb 22 20:39:41 UTC 2026","Sun Feb 22 20:39:45 UTC 2026","3470","","tests.customer.CustomerWithdrawalTest","","tests.customer.CustomerWithdrawalTest","testCustomerWithdrawal","testCustomerWithdrawal(String, String, String, String) [1] Harry Potter, 500, 200, Transaction successful","This test logs in a customer, deposits initial funds, withdraws an amount, and verifies the success message."
"failed","Sun Feb 22 20:36:07 UTC 2026","Sun Feb 22 20:36:33 UTC 2026","26008","","tests.customer.CustomerAuthTest","","tests.customer.CustomerAuthTest","testCustomerLoginAndLogout","testCustomerLoginAndLogout(String) [2] Hermoine Granger","This test verifies that a customer can successfully log into their account and log out successfully."
"failed","Sun Feb 22 20:39:57 UTC 2026","Sun Feb 22 20:39:59 UTC 2026","1625","","tests.manager.ManagerAddCustomerTest","","tests.manager.ManagerAddCustomerTest","testAddCustomerValidation","testAddCustomerValidation(String, String, String) [2] Jane, Smith@!, E55555","This test verifies that the system prevents customer creation with invalid data (e.g., numbers in names, special chars)."
"passed","Sun Feb 22 20:36:33 UTC 2026","Sun Feb 22 20:36:36 UTC 2026","2336","","tests.customer.CustomerAuthTest","","tests.customer.CustomerAuthTest","testCustomerNoAccountMessage","testCustomerNoAccountMessage(String, String, String) [1] Samuel, Pekyi, 123456","This test verifies that a customer without any accounts sees the 'Please open an account' message."
"passed","Sun Feb 22 20:39:45 UTC 2026","Sun Feb 22 20:39:46 UTC 2026","723","","tests.XYZNavigationTest","","tests.XYZNavigationTest","verifyCustomerLoginNavigation","verifyCustomerLoginNavigation()","This test verifies that the Customer Login button correctly navigates to the Customer portal view."
"passed","Sun Feb 22 20:39:46 UTC 2026","Sun Feb 22 20:39:48 UTC 2026","1540","","tests.manager.ManagerOpenAccountTest","","tests.manager.ManagerOpenAccountTest","testOpenAccount","testOpenAccount(String, String) [1] Harry Potter, Dollar","This test navigates to the Manager portal, fills out the Open Account form for a customer, submits it, and verifies the success alert."
